№	Название файла	Описание	Кол-во строк	Размер (КБ)
1	2	3	4	5
--------------------------------------------------------------------------------
1.	views.py		3544	154.42
2.	views.py		2450	94.77
3.	views.py		1401	55.89
4.	admin.css		2001	39.84
5.	dashboard.html		821	38.57
6.	students_list.html		1002	37.31
7.	homework_detail.html		902	35.50
8.	student_detail.html		897	32.76
9.	statistics.html		498	32.51
10.	homework_stats.html		808	29.80
11.	group_grades_detail.html		843	29.00
12.	audit_logs.html		811	28.64
13.	homework_submissions.html		558	27.83
14.	teacher_full_detail.html		411	27.72
15.	student_form.html		687	27.63
16.	student_detail.html		461	27.24
17.	group_subject_grades.html		871	26.72
18.	profile.html		739	26.50
19.	homework.html		709	25.32
20.	teachers_list.html		641	23.66
21.	dashboard.html		718	23.63
22.	views.py		642	23.59
23.	group_students.html		704	23.14
24.	index.html		757	21.94
25.	subjects_list.html		673	21.20
26.	grades.html		608	21.03
27.	homework_form.html		393	20.97
28.	dashboard.html		292	19.87
29.	announcement_form.html		362	19.17
30.	teacher_form.html		485	19.04
31.	groups_list.html		600	18.83
32.	attendance.html		354	18.14
33.	models.py		486	17.63
34.	audit_log_detail.html		526	17.62
35.	header.html		506	16.34
36.	grade_form.html		300	16.23
37.	grades.html		284	16.14
38.	schedule.html		329	16.12
39.	schedule.html		454	16.10
40.	teacher_subjects.html		513	16.09
41.	students.html		327	16.08
42.	teacher_subject_performance.html		280	15.97
43.	teachers_overview.html		260	15.80
44.	group_grades_overview.html		496	15.67
45.	group_form.html		449	15.37
46.	backup_create.html		247	14.05
47.	subject_form.html		396	13.25
48.	admin_dashboard.html		436	13.20
49.	announcements.html		249	12.85
50.	homework.html		247	12.73
51.	email_sender.py		294	12.55
52.	views.py		318	12.38
53.	test_api.py		278	12.30
54.	views.py		308	11.72
55.	backup_list.html		209	11.02
56.	serializers.py		386	10.20
57.	group_confirm_delete.html		247	7.39
58.	models.py		163	7.21
59.	_sidebar.html		151	6.48
60.	attendance_history.html		127	6.31
61.	attendance_dashboard.html		116	4.91
62.	student_welcome.html		136	4.78
63.	urls.py		70	4.77
64.	settings.py		167	4.74
65.	teacher_welcome.html		144	4.68
66.	footer.html		223	4.59
67.	sidebar.html		107	4.39
68.	collector.py		109	4.24
69.	reset_password.html		66	3.32
70.	views.py		90	3.27
71.	urls.py		57	3.12
72.	_sidebar.html		65	3.02
73.	education_sidebar.html		73	2.94
74.	pipeline.yaml		76	2.87
75.	decorators.py		71	2.66
76.	urls.py		34	1.96
77.	auth_tags.py		63	1.90
78.	forgot_password.html		43	1.76
79.	.gitlab-ci.yml		59	1.63
80.	find_all_classes.py		45	1.58
81.	urls.py		31	1.30
82.	admin.py		67	1.21
83.	base.html		33	1.15
84.	urls.py		21	1.03
85.	docker-compose.yml		43	0.97
86.	urls.py		21	0.88
87.	decorators.py		19	0.77
88.	Dockerfile		25	0.71
89.	manage.py		22	0.67
90.	password_reset_email.html		15	0.66
91.	urls.py		13	0.58
92.	permissions.py		12	0.52
93.	asgi.py		16	0.40
94.	wsgi.py		16	0.40
95.	urls.py		10	0.28
96.	apps.py		6	0.23
97.	apps.py		7	0.22
98.	pagination.py		5	0.16
99.	apps.py		6	0.15
100.	apps.py		5	0.11
101.	apps.py		5	0.10
102.	apps.py		5	0.09
103.	apps.py		5	0.08
104.	admin.py		3	0.06
105.	tests.py		3	0.06
106.	admin.py		3	0.06
107.	models.py		3	0.06
108.	tests.py		3	0.06
109.	admin.py		3	0.06
110.	tests.py		3	0.06
111.	admin.py		3	0.06
112.	models.py		3	0.06
113.	tests.py		3	0.06
114.	models.py		3	0.06
115.	tests.py		3	0.06
116.	admin.py		3	0.06
117.	models.py		3	0.06
118.	tests.py		3	0.06
119.	admin.py		3	0.06
120.	models.py		3	0.06
121.	tests.py		3	0.06
--------------------------------------------------------------------------------
ИТОГО:	121 файлов		39185 строк	1,527.86 КБ
